"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.640232197E1,-1.832902193E0,-1.378265858E0,1.306002617E1,1.325984279E1
2.640469755E1,2.684746981E0,-9.523434043E-1,8.532805443E0,8.995754167E0
2.640707317E1,-2.335394859E0,-3.589234054E-1,1.062891865E1,1.088837944E1
2.640944880E1,2.277967215E0,-1.770688772E0,1.035613632E1,1.075053640E1
2.641182442E1,-1.292124271E0,-4.785645381E-2,7.647460938E0,7.755999882E0
2.641419999E1,5.168496966E-1,-1.871187329E0,1.292124271E1,1.306625382E1
2.641657562E1,1.081555843E0,-3.397808075E-1,6.139982700E0,6.243765018E0
2.641895124E1,-2.014756680E0,-1.258624673E0,1.330409431E1,1.351452204E1
2.642132687E1,2.478964329E0,-8.566305041E-1,7.944170952E0,8.365938804E0
2.642370244E1,-2.277967215E0,-4.977070987E-1,1.141376400E1,1.164950023E1
2.642607807E1,2.421536446E0,-1.737189293E0,1.050927734E1,1.092367043E1
2.642845369E1,-1.713261008E0,-1.004985496E-1,8.164310455E0,8.342741063E0
2.643082932E1,4.498506486E-1,-1.828116536E0,1.269153118E1,1.283040683E1
2.643320489E1,7.944171429E-1,-4.833501875E-1,6.005984783E0,6.077547138E0
2.643558052E1,-1.607976794E0,-1.378265858E0,1.349551964E1,1.366068287E1
2.643795614E1,2.545963287E0,-8.805587292E-1,7.326822758E0,7.806384852E0
2.644033177E1,-2.732603550E0,-2.775674164E-1,1.171047401E1,1.202827367E1
2.644270734E1,2.431107759E0,-1.789831281E0,1.024606609E1,1.068155660E1
2.644508296E1,-1.799402595E0,-1.004985496E-1,8.891729355E0,9.072529999E0
2.644745859E1,6.699903607E-1,-1.808973908E0,1.272981644E1,1.287515049E1
2.644983421E1,1.914258152E-1,-3.780659735E-1,6.202196121E0,6.216656211E0
2.645220979E1,-1.488335729E0,-1.450050473E0,1.313659668E1,1.329992338E1
2.645458541E1,2.589034081E0,-8.662018180E-1,7.001399040E0,7.514851401E0
2.645696104E1,-2.474178553E0,-3.637090325E-1,1.192582798E1,1.218520483E1
2.645933666E1,2.483749866E0,-1.603191137E0,9.494720459E0,9.944292424E0
2.646171223E1,-2.258824587E0,-1.914258115E-2,9.083154678E0,9.359826594E0
2.646408786E1,1.024128079E0,-1.942971945E0,1.292124271E1,1.310658199E1
2.646646348E1,8.614161611E-2,-3.684946895E-1,6.604190350E0,6.615023725E0
2.646883911E1,-1.335195065E0,-1.339980721E0,1.318445301E1,1.331946303E1
2.647121468E1,2.134397745E0,-8.231309652E-1,6.637690067E0,7.020835260E0
2.647359031E1,-2.033899307E0,-5.838487148E-1,1.196889877E1,1.215451207E1
2.647596593E1,2.742174864E0,-1.478764415E0,8.977870941E0,9.503074966E0
2.647834156E1,-2.292324066E0,1.818545163E-1,9.217152596E0,9.499669608E0
2.648071718E1,1.028913736E0,-1.842473388E0,1.230389404E1,1.248355640E1
2.648309275E1,-5.264209956E-2,-2.823530734E-1,7.058826923E0,7.064667861E0
2.648546838E1,-8.614161611E-1,-1.344766378E0,1.339023590E1,1.348513448E1
2.648784400E1,1.981257200E0,-8.039883971E-1,6.862615108E0,7.187994405E0
2.649021963E1,-2.110469580E0,-5.694918036E-1,1.188754272E1,1.208685546E1
2.649259520E1,2.818745136E0,-1.526620865E0,8.523234367E0,9.106119892E0
2.649497083E1,-1.856830359E0,1.052841991E-1,9.341579437E0,9.524915229E0
2.649734645E1,1.502692580E0,-1.971685886E0,1.180618668E1,1.206365094E1
2.649972208E1,-2.249253243E-1,5.742774159E-2,7.030112743E0,7.033944450E0
2.650209765E1,-8.997012973E-1,-1.550549030E0,1.319880962E1,1.331999400E1
2.650447328E1,2.081755638E0,-6.221339107E-1,7.408178806E0,7.720224761E0
2.650684890E1,-1.871187329E0,-8.039883971E-1,1.208375454E1,1.225417737E1
